               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11855,            0.045075,            0.074563,           0.0013773,             0.12096,           0.0010382,          0.00023876,            0.097237,            0.031301,             0.06879,              0.0946,              0.0006,              0.0006
                   1,             0.09794,            0.052572,            0.069405,           0.0067497,             0.45248,            0.021056,           0.0069497,            0.070444,            0.031038,            0.062606,            0.088287,           0.0012871,           0.0012871
                   2,            0.077869,            0.053533,            0.063874,             0.18128,              0.1665,            0.079727,            0.023192,            0.058695,            0.027853,            0.058141,             0.08196,           0.0019604,           0.0019604
                   3,            0.066955,            0.048302,            0.059466,             0.52101,             0.18346,              0.1337,            0.042222,            0.056086,            0.040135,            0.057191,             0.07562,           0.0026198,           0.0026198
                   4,            0.060136,            0.042606,            0.057609,             0.32313,             0.35465,             0.14274,            0.049784,            0.052164,             0.03091,            0.054296,            0.069265,           0.0032654,           0.0032654
                   5,            0.059368,            0.038218,            0.055501,             0.43976,             0.34083,             0.24197,             0.11585,            0.045196,            0.020505,            0.051353,            0.062897,            0.003897,            0.003897
                   6,            0.057679,            0.036399,            0.053767,             0.60085,             0.29763,             0.23512,             0.12486,            0.052736,            0.020066,            0.048429,            0.056515,           0.0045149,           0.0045149
                   7,             0.05801,            0.035315,            0.052619,             0.60828,             0.34425,             0.30201,             0.13561,            0.047358,            0.017626,            0.049276,            0.050119,           0.0051188,           0.0051188
                   8,            0.055951,            0.031057,             0.05098,             0.62083,             0.34846,              0.3036,               0.152,            0.046483,            0.015751,            0.046242,            0.043709,            0.005709,            0.005709
                   9,            0.055867,            0.031773,            0.050024,             0.45815,              0.4191,             0.36594,             0.17836,            0.043396,             0.01419,            0.043897,            0.037285,           0.0062852,           0.0062852
                  10,            0.052494,            0.031772,            0.047725,             0.39221,             0.46229,             0.34179,             0.16693,            0.049018,            0.015265,            0.042006,            0.030848,           0.0068476,           0.0068476
                  11,            0.051093,            0.031959,            0.046154,             0.42807,             0.49825,             0.40058,             0.19257,            0.040162,            0.013903,            0.040977,            0.024396,           0.0073961,           0.0073961
                  12,            0.051068,            0.029555,            0.043332,             0.38652,             0.60161,             0.44532,             0.23693,            0.044707,            0.014309,            0.037057,            0.017931,           0.0079308,           0.0079308
                  13,            0.049454,            0.029078,            0.042158,             0.41872,             0.61571,             0.51393,             0.25606,            0.039136,            0.013829,            0.033925,            0.011452,           0.0084516,           0.0084516
                  14,            0.047335,            0.027842,            0.040256,             0.43542,              0.6064,             0.53217,             0.25465,            0.044356,            0.015717,            0.031369,            0.008614,            0.008614,            0.008614
                  15,            0.045874,            0.027372,            0.038086,             0.69799,             0.59614,             0.63909,             0.29048,            0.040289,            0.014088,            0.028712,            0.008614,            0.008614,            0.008614
